date_scraped,company_name,uei,duns,recipient_id,city,state,zip,parent_company,business_types,award_amount_12mo,match_source,small_business,usaspending_url
2026-07-01,DECISIONPOINT CORPORATION,GPASKFTTVQL9,967175071,807c0632-7830-78d2-115e-4eea2a9069d9-C,GAITHERSBURG,MD,20877,DECISIONPOINT CORPORATION,category_business; corporate_entity_not_tax_exempt; service_disabled_veteran_owned_business; small_business; special_designations; subchapter_s_corporation; us_owned_business; veteran_owned_business,13070105.84,naics_541512,True,https://www.usaspending.gov/recipient/807c0632-7830-78d2-115e-4eea2a9069d9-C/latest
2026-07-01,KATMAI MANAGEMENT SERVICES LLC,M2BMNKL4CR69,808181650,52323d90-1b32-113e-5d0e-48f3f67cf663-C,ANCHORAGE,AK,99515,KATMAI MANAGEMENT SERVICES LLC,8a_program_participant; alaskan_native_corporation_owned_firm; category_business; corporate_entity_not_tax_exempt; limited_liability_corporation; minority_owned_business; native_american_owned_business; self_certified_small_disadvanted_business; small_business; special_designations; tribally_owned_firm; us_owned_business,12918289.63,naics_541512,True,https://www.usaspending.gov/recipient/52323d90-1b32-113e-5d0e-48f3f67cf663-C/latest
2026-07-01,"NAKUPUNA SOLUTIONS, LLC",V4GVJZF4S263,081007372,346c58a1-4716-4995-baeb-e94afb8143c8-C,ARLINGTON,VA,22202,"NAKUPUNA SOLUTIONS, LLC",8a_program_participant; category_business; corporate_entity_not_tax_exempt; limited_liability_corporation; minority_owned_business; native_american_owned_business; native_hawaiian_organization_owned_firm; other_minority_owned_business; self_certified_small_disadvanted_business; small_business; special_designations; us_owned_business,12133653.98,naics_541512,True,https://www.usaspending.gov/recipient/346c58a1-4716-4995-baeb-e94afb8143c8-C/latest
2026-07-01,"DH TECHNOLOGIES, INC.",NKC2AB3ESFP5,078815475,3b8298c2-5bfd-7fc4-bb07-ad4c20d92543-C,LEESBURG,VA,20176,"DH TECHNOLOGIES, INC.",category_business; corporate_entity_not_tax_exempt; historically_underutilized_business_firm; small_business; special_designations; us_owned_business,11909299.38,naics_541512,True,https://www.usaspending.gov/recipient/3b8298c2-5bfd-7fc4-bb07-ad4c20d92543-C/latest
2026-07-01,"IHIT-JV, LLC",FMAPV49B2UE7,,2e9d7cb1-dbb9-4076-0d6f-2f6f1610a32c-C,DILLINGHAM,AK,99576,"IHIT-JV, LLC",alaskan_native_corporation_owned_firm; category_business; corporate_entity_not_tax_exempt; minority_owned_business; self_certified_small_disadvanted_business; small_business; special_designations; us_owned_business,11648531.33,naics_541512,True,https://www.usaspending.gov/recipient/2e9d7cb1-dbb9-4076-0d6f-2f6f1610a32c-C/latest
2026-07-01,"EAGLE INTEGRATED SERVICES, LLC",QNR7B2CS89A3,079957261,c0b76f0e-36b9-a796-19a2-565c16f6fdec-C,SAN ANTONIO,TX,78248,"EAGLE INTEGRATED SERVICES, LLC",8a_program_participant; alaskan_native_corporation_owned_firm; category_business; corporate_entity_not_tax_exempt; limited_liability_corporation; minority_owned_business; native_american_owned_business; self_certified_small_disadvanted_business; small_business; special_designations; us_owned_business,11505719.65,naics_541512,True,https://www.usaspending.gov/recipient/c0b76f0e-36b9-a796-19a2-565c16f6fdec-C/latest
2026-07-01,CLARITY INNOVATIONS LLC,MLCEWFN6PHL3,967845392,254b3a41-c143-7bf0-4675-d073c74155cf-C,PONTE VEDRA,FL,32081,CLARITY INNOVATIONS LLC,category_business; corporate_entity_not_tax_exempt; limited_liability_corporation; service_disabled_veteran_owned_business; small_business; special_designations; us_owned_business; veteran_owned_business,11423947.90,naics_541512,True,https://www.usaspending.gov/recipient/254b3a41-c143-7bf0-4675-d073c74155cf-C/latest
2026-07-01,TECHNOLOGY UNLIMITED GROUP,GAX3L178FCK5,169273047,85840417-bc83-af1f-0f28-4582305e373c-C,SAN DIEGO,CA,92107,TECHNOLOGY UNLIMITED GROUP,category_business; corporate_entity_not_tax_exempt; service_disabled_veteran_owned_business; small_business; special_designations; subchapter_s_corporation; us_owned_business; veteran_owned_business; woman_owned_business; women_owned_small_business,11406729.70,naics_541512,True,https://www.usaspending.gov/recipient/85840417-bc83-af1f-0f28-4582305e373c-C/latest
2026-07-01,SHERPA 6 INC,SAB5XACK9258,080989805,f07829b7-24a4-d9ed-7404-3332da845802-C,LITTLETON,CO,80127,SHERPA 6 INC,black_american_owned_business; category_business; corporate_entity_not_tax_exempt; minority_owned_business; service_disabled_veteran_owned_business; small_business; special_designations; us_owned_business; veteran_owned_business,11208905.13,naics_541512,True,https://www.usaspending.gov/recipient/f07829b7-24a4-d9ed-7404-3332da845802-C/latest
2026-07-01,CHINOOK SYSTEMS INC,YYGATTQM9KD1,118946321,590542e0-177f-2b4c-2e1a-2e075c79a1af-C,COCOA BEACH,FL,32931,CHINOOK SYSTEMS INC,category_business; corporate_entity_not_tax_exempt; dot_certified_disadvantaged_business_enterprise; small_business; special_designations; us_owned_business; woman_owned_business; women_owned_small_business,11193605.62,naics_541512,True,https://www.usaspending.gov/recipient/590542e0-177f-2b4c-2e1a-2e075c79a1af-C/latest
2026-07-01,MICROHEALTH LLC,C1RQANT6CG57,963809988,7db9cee9-fc9b-1639-3c5a-f90c99ae6dbf-C,VIENNA,VA,22182,MICROHEALTH LLC,8a_program_participant; black_american_owned_business; category_business; limited_liability_corporation; manufacturer_of_goods; minority_owned_business; partnership_or_limited_liability_partnership; self_certified_small_disadvanted_business; service_disabled_veteran_owned_business; small_business; special_designations; us_owned_business; veteran_owned_business,11063287.84,naics_541512,True,https://www.usaspending.gov/recipient/7db9cee9-fc9b-1639-3c5a-f90c99ae6dbf-C/latest
2026-07-01,"COMMAND POST TECHNOLOGIES, INC.",WMKLFLX59Y11,831153536,fa0a5d7f-666e-29c4-b88b-c0bc98fdd2da-C,SUFFOLK,VA,23435,"COMMAND POST TECHNOLOGIES, INC.",category_business; corporate_entity_not_tax_exempt; service_disabled_veteran_owned_business; small_business; special_designations; subchapter_s_corporation; us_owned_business; veteran_owned_business,10800113.16,naics_541512,True,https://www.usaspending.gov/recipient/fa0a5d7f-666e-29c4-b88b-c0bc98fdd2da-C/latest
2026-07-01,N2IA TECHNOLOGIES LLC,WU8UN8YN88V9,079478626,f120f49a-329c-58bd-496d-f48e0508b4c4-C,WASHINGTON,DC,20006,N2IA TECHNOLOGIES LLC,8a_program_participant; category_business; corporate_entity_not_tax_exempt; historically_underutilized_business_firm; minority_owned_business; self_certified_small_disadvanted_business; small_business; special_designations; subchapter_s_corporation; subcontinent_asian_indian_american_owned_business; us_owned_business,10633569.57,naics_541512,True,https://www.usaspending.gov/recipient/f120f49a-329c-58bd-496d-f48e0508b4c4-C/latest
2026-07-01,OPEN SAN CONSULTING L.L.C.,CWDSTZNRNXU5,016262390,28104701-d8ec-1ae6-fc83-5cd48e0c0aef-C,ATLANTA,GA,30341,OPEN SAN CONSULTING L.L.C.,alaskan_native_corporation_owned_firm; category_business; corporate_entity_not_tax_exempt; limited_liability_corporation; minority_owned_business; native_american_owned_business; self_certified_small_disadvanted_business; small_business; special_designations; us_owned_business,847790.28,psc_d310,True,https://www.usaspending.gov/recipient/28104701-d8ec-1ae6-fc83-5cd48e0c0aef-C/latest
